[PERSIST_CAP] day=2026-03-02 valid_accepts=0 orig_cap=15 effective_cap=15
INFO  | 2026-03-02T13:00:59 | 2872b555 | regime {'regime': 'TREND', 'confidence': 0.0, 'alpha_mode': 'ON'}
INFO  | 2026-03-02T13:00:59 | 2872b555 | core_context {'bias': 'SHORT', 'trend_strength': 0.5003429704312712, 'vwap_state': 'BELOW', 'ema_sep': 0.12807574897027507, 'reason': 'core_ctx_v2_scaled'}
INFO  | 2026-03-02T13:00:59 | 2872b555 | alpha_mode {'mode': 'CAP50', 'cap_ratio': 0.5, 'reason': 'alpha_cap_trend(ts=0.500,th=0.35)'}
INFO  | 2026-03-02T13:00:59 | 2872b555 | signal_skip {'reason': 'out_of_session'}
INFO  | 2026-03-02T13:00:59 | 2872b555 | HEARTBEAT in_session=False pre_close=False alpha_kill=False portfolio_kill=False daily_r=+0.00 week_r=+0.00 active=None
INFO  | 2026-03-02T13:01:09 | 2872b555 | regime {'regime': 'TREND', 'confidence': 0.0, 'alpha_mode': 'ON'}
INFO  | 2026-03-02T13:01:09 | 2872b555 | core_context {'bias': 'SHORT', 'trend_strength': 0.0001040976282103891, 'vwap_state': 'ABOVE', 'ema_sep': 0.12614162454360667, 'reason': 'core_ctx_v2_scaled'}
INFO  | 2026-03-02T13:01:09 | 2872b555 | alpha_mode {'mode': 'OFF', 'cap_ratio': 0.0, 'reason': 'alpha_off_trend_weak(ts=0.000,th=0.35)'}
INFO  | 2026-03-02T13:01:09 | 2872b555 | signal_skip {'reason': 'out_of_session'}
INFO  | 2026-03-02T13:01:09 | 2872b555 | HEARTBEAT in_session=False pre_close=False alpha_kill=False portfolio_kill=False daily_r=+0.00 week_r=+0.00 active=None
INFO  | 2026-03-02T13:01:19 | 2872b555 | regime {'regime': 'TREND', 'confidence': 0.0, 'alpha_mode': 'ON'}
INFO  | 2026-03-02T13:01:19 | 2872b555 | core_context {'bias': 'SHORT', 'trend_strength': 6.425597248642217e-05, 'vwap_state': 'ABOVE', 'ema_sep': 0.08807464557798994, 'reason': 'core_ctx_v2_scaled'}
INFO  | 2026-03-02T13:01:19 | 2872b555 | alpha_mode {'mode': 'OFF', 'cap_ratio': 0.0, 'reason': 'alpha_off_trend_weak(ts=0.000,th=0.35)'}
INFO  | 2026-03-02T13:01:19 | 2872b555 | signal_skip {'reason': 'out_of_session'}
INFO  | 2026-03-02T13:01:19 | 2872b555 | HEARTBEAT in_session=False pre_close=False alpha_kill=False portfolio_kill=False daily_r=+0.00 week_r=+0.00 active=None
INFO  | 2026-03-02T13:01:19 | 2872b555 | shutdown {'ok': True, 'final_state': {'in_session': False, 'pre_close': False, 'alpha_kill': False, 'portfolio_kill': False, 'pending': False, 'active': None, 'daily_r': 0.0, 'week_r': 0.0}}
