file,records_total,records_accepted,records_rejected,top_reject_reason
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\engine_daily_metrics_20260303.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\engine_daily_metrics_20260304.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\ops\gate_state_20260227.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\ops\gate_state_20260228.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\ops\gate_state_20260302.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\ops\gate_state_20260303.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\ops\gate_state_20260304.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\sitecustomize_loaded.jsonl,172,0,172,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\spawn_trap.jsonl,86,0,86,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\supervisor_events.jsonl,32,0,32,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\supervisor_events.v3.jsonl,1090,0,1090,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\boot_guard.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\kpi\paper_kpi_latest.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\kpi\trades_latest.csv,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\risk\daily_summary_2026-03-02.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\risk\risk_ledger.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_HEALTH_20260304_071625\audit\runroot_files.csv,783,0,783,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_RUN_5MIN_20260304_081055\audit\locks\paper_locks.csv,115,0,115,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_RUN_5MIN_POSTFIX_20260304_082407\audit\locks\paper_locks.csv,3,0,3,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\all_processes.csv,237,0,237,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\code_inventory.csv,9942,0,9942,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\createprocess_trap.jsonl,13,0,13,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\engine_daily_metrics_20260227.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\engine_daily_metrics_20260228.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\engine_daily_metrics_20260302.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\engine_daily_metrics_20260303.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\engine_daily_metrics_20260304.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\ops\gate_state_20260227.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\ops\gate_state_20260228.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\ops\gate_state_20260302.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\ops\gate_state_20260303.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\ops\gate_state_20260304.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\process_guard.jsonl,70,0,70,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\sitecustomize_loaded.jsonl,6,0,6,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\supervisor_events.jsonl,32,0,32,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\supervisor_events.v3.jsonl,1247,0,1247,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs_inventory.csv,886,0,886,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\boot_guard.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\kpi\paper_kpi_latest.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\kpi\trades_latest.csv,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\risk\daily_summary_2026-03-02.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\risk\risk_ledger.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\risk_ledger.atomic.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state\runtime_registry.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\state_inventory.csv,15,0,15,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\patch_transactions\LEGACY_PATH_REMEDIATION_20260307_091952\remediation_results.csv,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\patch_transactions\TARGETED_LEGACY_CANON_REMEDIATION_20260307_093534\remediation_results.csv,10,0,10,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_DIAG_PAPER_20260303_134740\unzipped\logs_tail\createprocess_trap.jsonl,11,0,11,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_DIAG_PAPER_20260303_134740\unzipped\logs_tail\engine_daily_metrics_20260302.json,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_DIAG_PAPER_20260303_134740\unzipped\logs_tail\engine_daily_metrics_20260303.json,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_DIAG_PAPER_20260303_134740\unzipped\logs_tail\sitecustomize_loaded.jsonl,172,0,172,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_DIAG_PAPER_20260303_134740\unzipped\logs_tail\spawn_trap.jsonl,11,0,11,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_VALIDATE_PAPER_20260303_134621\logs_tail\createprocess_trap.jsonl,11,0,11,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_VALIDATE_PAPER_20260303_134621\logs_tail\engine_daily_metrics_20260302.json,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_VALIDATE_PAPER_20260303_134621\logs_tail\engine_daily_metrics_20260303.json,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_VALIDATE_PAPER_20260303_134621\logs_tail\sitecustomize_loaded.jsonl,172,0,172,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\SI_VALIDATE_PAPER_20260303_134621\logs_tail\spawn_trap.jsonl,11,0,11,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\STAB_GATE_BUNDLE_20260304_205557\logs\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\STABILITY_40M_20260304_210222\logs\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\STABILITY_40M_20260304_210724\logs\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\STABILITY_40M_FINAL_20260304_222610\logs\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\STABILITY_40M_V2_20260304_211536\logs\shadow_plans.jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\STANDARD_EVIDENCE_BUNDLE_20260304_080031\audit\locks\paper_locks.csv,114,0,114,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\createprocess_trap.jsonl,13,0,13,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\engine_daily_metrics_20260227.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\engine_daily_metrics_20260228.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\engine_daily_metrics_20260302.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\engine_daily_metrics_20260303.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\engine_daily_metrics_20260304.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\hardened_shadow_plans.jsonl,2,0,2,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\ops\gate_state_20260227.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\ops\gate_state_20260228.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\ops\gate_state_20260302.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\ops\gate_state_20260303.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\ops\gate_state_20260304.json,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\process_guard.jsonl,70,0,70,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\shadow_plans.jsonl,62,0,62,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\sitecustomize_loaded.jsonl,6,0,6,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\supervisor_events.jsonl,32,0,32,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\logs\supervisor_events.v3.jsonl,1247,0,1247,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\validation_v2\config_registry.jsonl,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\validation_v2\governance_status.jsonl,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\validation_v2\kpi_snapshots.jsonl,1,0,1,missing_r_value
C:\alpaca-bot\ORG_BOT_UNIFIED\runtime\paper\validation_v2\outcome_ledger.jsonl,2,0,2,missing_r_value
