file,target_field,present
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\RUNTIME_FILES.csv,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\RUNTIME_FILES.csv,timestamp,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\VALIDATION_FILES.csv,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\VALIDATION_FILES.csv,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\VALIDATION_FILES.csv,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\VALIDATION_FILES.csv,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\VALIDATION_FILES.csv,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\VALIDATION_FILES.csv,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\VALIDATION_FILES.csv,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\VALIDATION_FILES.csv,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\_FORENSIC_VIEW\VALIDATION_FILES.csv,timestamp,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\PROC_CENSUS.csv,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\PROC_CENSUS.csv,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\PROC_CENSUS.csv,regime,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\PROC_CENSUS.csv,r_value,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\PROC_CENSUS.csv,pnl,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\PROC_CENSUS.csv,risk,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\PROC_CENSUS.csv,entry,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\PROC_CENSUS.csv,exit,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\PROC_CENSUS.csv,timestamp,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_engine.jsonl,strategy,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_engine.jsonl,symbol,0
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\BOT_NOT_RUNNING_DIAG_20260303_214743\audit\TAILS\TAIL_meta_engine.jsonl,regime,0
