file,source_kind,records_sampled,field_count,score,matched_fields
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\03_OPS_TASKS_WRAPPERS_PATCHES\patches\MAINPY_RESTORE_SCAN_20260302_092209\SCAN_REPORT.csv,csv,6,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\03_OPS_TASKS_WRAPPERS_PATCHES\patches\ROOT_RESTORE_MAINPY_20260302_114454\ranked_candidates.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\_LOG_INDEX.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\createprocess_trap.jsonl,jsonl,13,7,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\hardened_shadow_plans.jsonl,jsonl,2,12,4,"entry,strategy,symbol,timestamp"
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\hardening_events.jsonl,jsonl,10,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\meta_events.jsonl,jsonl,25,5,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\shadow_plans.jsonl,jsonl,25,11,4,"entry,strategy,symbol,timestamp"
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\sitecustomize_loaded.jsonl,jsonl,6,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\supervisor_events.jsonl,jsonl,25,8,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\04_RUNTIME_LOGS\supervisor_events.v3.jsonl,jsonl,25,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\_VALIDATION_FILELIST.csv,csv,4,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\config_registry.jsonl,jsonl,1,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\governance_status.jsonl,jsonl,1,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\kpi_snapshots.jsonl,jsonl,1,18,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\05_VALIDATION\outcome_ledger.jsonl,jsonl,2,20,6,"entry,r_value,regime,strategy,symbol,timestamp"
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\07_ENV_AND_INVENTORY\env_non_sensitive.csv,csv,25,2,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\07_ENV_AND_INVENTORY\environment_inventory.json,json,1,16,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\07_ENV_AND_INVENTORY\python_processes.csv,csv,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\08_EVIDENCE_INDEX_AND_SELECTED\_EVIDENCE_PACK_FILELIST.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\08_EVIDENCE_INDEX_AND_SELECTED\EVIDENCE_INDEX.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\08_EVIDENCE_INDEX_AND_SELECTED\TRANSFER_FORENSIC_20260303_230222\audit\key_hashes.csv,csv,9,2,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\08_EVIDENCE_INDEX_AND_SELECTED\TRANSFER_FORENSIC_20260303_230222\audit\locks.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\08_EVIDENCE_INDEX_AND_SELECTED\TRANSFER_FORENSIC_20260303_230336\audit\key_hashes.csv,csv,9,2,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\08_EVIDENCE_INDEX_AND_SELECTED\TRANSFER_FORENSIC_20260303_230336\audit\locks.csv,csv,25,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\09_SECRETS_METADATA_ONLY\SECRETS_FILES_ONLY.csv,csv,24,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\stage\09_SECRETS_METADATA_ONLY\SECRETS_METADATA_ONLY.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CHATGPT_TRANSFER_PACK_20260307_084235\ZIP_MANIFEST.csv,csv,9,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CORR_RISK_20260303_185603\correlation_blocklist.json,json,1,4,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CORR_RISK_20260303_185603\correlation_config.json,json,1,9,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CORR_RISK_20260303_185603\correlation_enabled_sids.json,json,1,3,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CORR_RISK_20260303_185603\correlation_history.jsonl,jsonl,1,11,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CORR_RISK_20260303_185603\correlation_report.json,json,1,11,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DASHBOARD_20260303_180953\quant_dashboard.json,json,1,8,2,"regime,timestamp"
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DEEP_TRACE_4688_V1_20260305_131511\proc\proc_poll.csv,csv,25,4,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DEEP_TRACE_4688_V1_20260305_131840\proc\proc_poll.csv,csv,25,4,1,timestamp
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DEEP_TRACE_DUALPID_V1_20260305_131312\proc\proc_start_trace.jsonl,jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DEEP_TRACE_DUALPID_V1_20260305_131440\proc\proc_start_trace.jsonl,jsonl,0,0,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUAL_PID_CAPTURE_V1_20260305_213352\all_processes.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUAL_PID_CAPTURE_V1_20260305_213352\state_tree.csv,csv,15,3,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUAL_PID_CAPTURE_V1_20260305_213352\tbot_main_processes.csv,csv,2,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUAL_PID_ROOTCAUSE_LIVE_V1_20260305_213827\all_processes.csv,csv,25,4,0,
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUAL_PID_ROOTCAUSE_LIVE_V1_20260305_213827\dual_pid_processes.csv,csv,2,4,0,
