ts,pid_count,pids,parent_pids,cmdlines
2026-03-05T11:33:30.0844469-08:00,1,28040,19820,'C:\alpaca-bot\ORG_BOT_UNIFIED\code\.venv\Scripts\python.exe' -m tbot.main --run
2026-03-05T11:33:32.1374320-08:00,0,,,
2026-03-05T11:33:34.1806551-08:00,0,,,
2026-03-05T11:33:36.2500059-08:00,0,,,
2026-03-05T11:33:38.2953433-08:00,0,,,
2026-03-05T11:33:40.3571172-08:00,0,,,
2026-03-05T11:33:42.3967748-08:00,0,,,
2026-03-05T11:33:44.4457414-08:00,0,,,
2026-03-05T11:33:46.5108283-08:00,0,,,
2026-03-05T11:33:48.5814647-08:00,0,,,
2026-03-05T11:33:50.6536391-08:00,0,,,
2026-03-05T11:33:52.7384257-08:00,0,,,
2026-03-05T11:33:54.8168468-08:00,0,,,
2026-03-05T11:33:56.8847038-08:00,0,,,
2026-03-05T11:33:58.9531188-08:00,0,,,
