file,source_kind,records_sampled,score,strategy_field,symbol_field,regime_field,r_value_field,pnl_field,risk_field,entry_field,exit_field,timestamp_field
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CORR_RISK_20260303_185603\correlation_blocklist.json,json,1,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CORR_RISK_20260303_185603\correlation_enabled_sids.json,json,1,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CORR_RISK_20260303_185603\correlation_history.jsonl,jsonl,1,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\CORR_RISK_20260303_185603\correlation_report.json,json,1,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DEEP_TRACE_4688_V1_20260305_131511\proc\proc_poll.csv,csv,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DEEP_TRACE_4688_V1_20260305_131840\proc\proc_poll.csv,csv,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_CERT_TEST_V1_20260305_115528\capture\pid_samples_A_TASK_ONLY.csv,csv,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_ERADICATE_V1_20260305_134609\restore_extract\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\createprocess_trap.jsonl,jsonl,13,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_ERADICATE_V1_20260305_134609\restore_extract\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\meta_events.jsonl,jsonl,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_ERADICATE_V1_20260305_134609\restore_extract\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\sitecustomize_loaded.jsonl,jsonl,6,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_ERADICATE_V1_20260305_134609\restore_extract\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\supervisor_events.jsonl,jsonl,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_ERADICATE_V1_20260305_134609\restore_extract\INSTITUTIONAL_PATH_TASK_HYGIENE_20260305_133245\logs\supervisor_events.v3.jsonl,jsonl,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\logs\createprocess_trap.jsonl,jsonl,13,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\logs\meta_events.jsonl,jsonl,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\logs\sitecustomize_loaded.jsonl,jsonl,6,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\logs\supervisor_events.jsonl,jsonl,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\logs\supervisor_events.v3.jsonl,jsonl,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_EVIDENCE_V1FIX_20260305_125754\proc\proc_sample_120s.csv,csv,25,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_INSTITUTIONAL_FIX_20260305_091332\logs\createprocess_trap.jsonl,jsonl,13,1,,,,,,,,,ts
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\DUALPID_INSTITUTIONAL_FIX_20260305_091332\logs\meta_events.jsonl,jsonl,25,1,,,,,,,,,ts
