"plan_key","resolved_status","resolved_r","exit","exit_ts","outcome_source","notes"
"HELPER_HARDEN_PROOF_20260306_140558|EXT_HARDEN_V1|SPY|SHORT|SELL|2026-03-06 15:44:20","","","","","",""
"HELPER_HARDEN_PROOF_20260306_140558|EXT_HARDEN_V2|SPY|SHORT|SELL|2026-03-06 16:24:38","","","","","",""
