file,issue,count
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\ops\gate_state_20260304.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\sitecustomize_loaded.jsonl,missing_r_value,172
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\spawn_trap.jsonl,missing_r_value,86
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\supervisor_events.jsonl,missing_r_value,32
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\logs\supervisor_events.v3.jsonl,missing_r_value,1090
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\boot_guard.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\kpi\paper_kpi_latest.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\kpi\trades_latest.csv,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\risk\daily_summary_2026-03-02.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\MYGPT_UPLOAD_20260304_074608\audit\runtime\paper\state\risk\risk_ledger.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_HEALTH_20260304_071625\audit\runroot_files.csv,missing_r_value,783
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_RUN_5MIN_20260304_081055\audit\locks\paper_locks.csv,missing_r_value,115
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_RUN_5MIN_POSTFIX_20260304_082407\audit\locks\paper_locks.csv,missing_r_value,3
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\all_processes.csv,missing_r_value,237
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\code_inventory.csv,missing_r_value,9942
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\createprocess_trap.jsonl,missing_r_value,13
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\engine_daily_metrics_20260227.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\engine_daily_metrics_20260228.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\engine_daily_metrics_20260302.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\engine_daily_metrics_20260303.json,missing_r_value,1
C:\alpaca-bot\ORG_BOT_UNIFIED\ops\evidence\PAPER_VALIDATION_BASELINE_V1_20260306_073628\logs\engine_daily_metrics_20260304.json,missing_r_value,1
